code,city,country,state,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
32049,Herford,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,6842
32051,Herford,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,3,postal_boundary,4891
32052,Herford,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,2,postal_boundary,5266
32105,Bad Salzuflen,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,3,postal_boundary,4820
32107,Bad Salzuflen,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,5458
32108,Bad Salzuflen,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,2,postal_boundary,4948
32120,Hiddenhausen,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,6375
32130,Enger,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,6323
32139,Spenge,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,4663
32257,Bünde,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,14170
32278,Kirchlengern,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,5655
32289,Rödinghausen,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,6148
32312,Lübbecke,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,8268
32339,Espelkamp,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,6255
32351,Stemwede,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,4112
32361,Preußisch Oldendorf,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,address_fallback,4139
32369,Rahden,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,4876
32423,Minden,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,2,postal_boundary,6288
32425,Minden,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,6750
32427,Minden,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,3,postal_boundary,4462
32429,Minden,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,4,postal_boundary,4153
32457,Porta Westfalica,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,11925
32469,Petershagen,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,8649
32479,Hille,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,5258
32545,Bad Oeynhausen,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,3,postal_boundary,2615
32547,Bad Oeynhausen,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,2,postal_boundary,4417
32549,Bad Oeynhausen,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,7472
32584,Löhne,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,12456
32602,Vlotho,DE,Nordrhein-Westfalen,Kreis Herford,W. Europe Standard Time,true,1,1,postal_boundary,6171
32609,Hüllhorst,DE,Nordrhein-Westfalen,Kreis Minden-Lübbecke,W. Europe Standard Time,true,1,1,postal_boundary,4450
32657,Lemgo,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,12614
32676,Lügde,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,3412
32683,Barntrup,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,2809
32689,Kalletal,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,4534
32694,Dörentrup,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,2611
32699,Extertal,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,4060
32756,Detmold,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,2,postal_boundary,6863
32758,Detmold,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,7391
32760,Detmold,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,3,postal_boundary,6230
32791,Lage,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,10139
32805,Horn-Bad Meinberg,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,5343
32816,Schieder-Schwalenberg,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,2746
32825,Blomberg,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,5365
32832,Augustdorf,DE,Nordrhein-Westfalen,Kreis Lippe,W. Europe Standard Time,true,1,1,postal_boundary,2615
32839,Steinheim,DE,Nordrhein-Westfalen,Kreis Höxter,W. Europe Standard Time,true,1,1,postal_boundary,4476
33014,Bad Driburg,DE,Nordrhein-Westfalen,Kreis Höxter,W. Europe Standard Time,true,1,1,postal_boundary,5829
33034,Brakel,DE,Nordrhein-Westfalen,Kreis Höxter,W. Europe Standard Time,true,1,1,postal_boundary,5264
33039,Nieheim,DE,Nordrhein-Westfalen,Kreis Höxter,W. Europe Standard Time,true,1,1,postal_boundary,2373
33098,Paderborn,DE,Nordrhein-Westfalen,Kreis Paderborn,W. Europe Standard Time,true,1,5,postal_boundary,6206
33100,Paderborn,DE,Nordrhein-Westfalen,Kreis Paderborn,W. Europe Standard Time,true,1,1,postal_boundary,8419
