code,city,country,state,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
64754,Eberbach,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,3,postal_boundary,20
64757,Eberbach,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,4,postal_boundary,4
64757,Hirschhorn (Unter-Hainbrunn),DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,false,2,1,postal_boundary,0
67166,Brühl,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,2,address_fallback,11
68159,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,13,postal_boundary,1241
68161,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,11,postal_boundary,1414
68163,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,7,postal_boundary,2756
68165,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,12,postal_boundary,1343
68167,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,9,postal_boundary,1758
68169,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,10,postal_boundary,1564
68199,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,2,postal_boundary,4573
68219,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,6,postal_boundary,3650
68229,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,14,postal_boundary,1043
68239,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,8,postal_boundary,2404
68259,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,1,postal_boundary,5212
68305,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,3,postal_boundary,4406
68307,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,4,postal_boundary,3921
68309,Mannheim,DE,Baden-Württemberg,Mannheim,W. Europe Standard Time,true,1,5,postal_boundary,3746
68526,Ladenburg,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,3199
68535,Edingen-Neckarhausen,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,3748
68542,Heddesheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2843
68549,Ilvesheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2351
68723,Oftersheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,false,3,1,postal_boundary,2965
68723,Plankstadt,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,false,2,1,postal_boundary,3007
68723,Schwetzingen,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,4566
68753,Waghäusel,DE,Baden-Württemberg,Landkreis Karlsruhe,W. Europe Standard Time,true,1,1,postal_boundary,6424
68766,Hockenheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,5527
68775,Ketsch,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,3991
68782,Brühl,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,3581
68789,Sankt Leon-Rot,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
68794,Oberhausen-Rheinhausen,DE,Baden-Württemberg,Landkreis Karlsruhe,W. Europe Standard Time,true,1,1,postal_boundary,3368
68799,Reilingen,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2453
68804,Altlußheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2055
68809,Neulußheim,DE,Baden-Württemberg,Rhein-Neckar-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2100
69115,Heidelberg,DE,Baden-Württemberg,Heidelberg,W. Europe Standard Time,true,1,5,postal_boundary,2952
69117,Heidelberg,DE,Baden-Württemberg,Heidelberg,W. Europe Standard Time,true,1,8,postal_boundary,1911
69118,Heidelberg,DE,Baden-Württemberg,Heidelberg,W. Europe Standard Time,true,1,3,postal_boundary,3200
69120,Heidelberg,DE,Baden-Württemberg,Heidelberg,W. Europe Standard Time,true,1,7,postal_boundary,2216
