code,city,country,state,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
20095,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,97,postal_boundary,675
20097,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,98,postal_boundary,650
20099,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,82,postal_boundary,1131
20144,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,93,postal_boundary,816
20146,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,87,postal_boundary,972
20148,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,94,postal_boundary,774
20149,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,88,postal_boundary,962
20159,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,101,address_fallback,3
20249,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,91,postal_boundary,869
20251,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,61,postal_boundary,1752
20253,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,78,postal_boundary,1233
20255,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,89,postal_boundary,925
20257,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,92,postal_boundary,863
20259,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,84,postal_boundary,1085
20354,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,99,postal_boundary,626
20355,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,100,postal_boundary,535
20357,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,66,postal_boundary,1582
20359,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,72,postal_boundary,1344
20457,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,85,postal_boundary,1067
20459,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,95,postal_boundary,721
20535,Hamburg,DE,Hamburg,,W. Europe Standard Time,true,1,64,postal_boundary,1600
